ID,Precio,Referencia,Ubicacion,Ciudad,Habitaciones,Banos,Superficie,Planta,Web,Fecha,Enlace
162721619,1238,Sant Martí,1,1,55,6ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-piscina-no-amueblado/162721619/d,Fotocasa,Barcelona,161036964,2022-04-03
162534909,1150,Les Corts,2,1,90,2ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/162534909/d,Fotocasa,Barcelona,162721620,2022-04-03
162651569,1350,Eixample,3,1,60,NA,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-no-amueblado/162651569/d,Fotocasa,Barcelona,162534910,2022-04-03
156348209,1400,Ciutat Vella,1,1,45,NA,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/amueblado/156348209/d,Fotocasa,Barcelona,162651570,2022-04-03
161688642,2300,Dúplex en Sarrià - Sant Gervasi,3,3,180,5ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-parking-terraza-ascensor-se-aceptan-mascotas-no-amueblado/161688642/d,Fotocasa,Barcelona,156348210,2022-04-03
162072085,1400,Ciutat Vella,3,2,78,4ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/162072085/d,Fotocasa,Barcelona,161688643,2022-04-03
159259710,860,Horta - Guinardó,3,1,78,Bajos,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion/159259710/d,Fotocasa,Barcelona,162072086,2022-04-03
155734829,2500,Eixample,2,2,100,4ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/155734829/d,Fotocasa,Barcelona,159259711,2022-04-03
162749238,1900,Les Corts,4,3,151,9ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-no-amueblado/162749238/d,Fotocasa,Barcelona,155734830,2022-04-03
161959359,900,Ciutat Vella,1,1,37,Bajos,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado-television-internet/161959359/d,Fotocasa,Barcelona,162749239,2022-04-03
163131450,2200,Casa adosada en Gràcia,3,3,130,NA,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-jardin-terraza-trastero-parking-television-internet/163131450/d,Fotocasa,Barcelona,161959360,2022-04-03
163105393,1050,Horta - Guinardó,3,2,80,NA,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza/163105393/d,Fotocasa,Barcelona,163131451,2022-04-03
163069853,990,Ciutat Vella,5,1,104,4ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/no-amueblado/163069853/d,Fotocasa,Barcelona,163105394,2022-04-03
163064092,1216,Eixample,2,2,60,1ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/163064092/d,Fotocasa,Barcelona,163069854,2022-04-03
163018387,1050,Eixample,3,1,70,2ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/163018387/d,Fotocasa,Barcelona,163064093,2022-04-03
162986057,1250,Eixample,4,2,88,7ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado-television-internet/162986057/d,Fotocasa,Barcelona,163018388,2022-04-03
162967387,1800,Horta - Guinardó,3,2,70,2ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado/162967387/d,Fotocasa,Barcelona,162986058,2022-04-03
162847729,2900,Sarrià - Sant Gervasi,3,3,207,4ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor/162847729/d,Fotocasa,Barcelona,162967388,2022-04-03
158559021,1238,Sarrià - Sant Gervasi,3,2,82,2ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-no-amueblado/158559021/d,Fotocasa,Barcelona,162847730,2022-04-03
163121007,1950,Sant Martí,3,2,90,4ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-amueblado-piscina/163121007/d,Fotocasa,Barcelona,158559022,2022-04-03
163111041,1300,Eixample,3,2,60,7ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-terraza-ascensor/163111041/d,Fotocasa,Barcelona,163121008,2022-04-03
163071993,1600,Gràcia,2,2,59,Principal,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-amueblado/163071993/d,Fotocasa,Barcelona,163111042,2022-04-03
162626105,1800,Eixample,3,2,163,NA,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/162626105/d,Fotocasa,Barcelona,163071994,2022-04-03
163038792,1700,Ático en Eixample,4,2,125,NA,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-television/163038792/d,Fotocasa,Barcelona,162626106,2022-04-03
163036654,3200,Sarrià - Sant Gervasi,4,3,210,3ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-ascensor-amueblado/163036654/d,Fotocasa,Barcelona,163038793,2022-04-03
163027882,2750,Sant Martí,2,2,113,+15,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-amueblado-parking-piscina/163027882/d,Fotocasa,Barcelona,163036655,2022-04-03
