ID,Ref_code,Precio,Ubicacion,Ciudad,Habitaciones,Banos,Superficie,Planta,Link,Portal_web,Fecha
100,163132700,900,Ciutat Vella,Barcelona,1,1,40,Terraza,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza/163132700/d,2022-04-03
101,163103956,850,Sarrià - Sant Gervasi,Barcelona,2,1,55,2ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-no-amueblado/163103956/d,2022-04-03
102,163129035,1950,Sant Martí,Barcelona,3,2,95,5ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-piscina-piscina/163129035/d,2022-04-03
103,163128733,1350,Sarrià - Sant Gervasi,Barcelona,1,1,52,7ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/163128733/d,2022-04-03
104,163124863,790,Sarrià - Sant Gervasi,Barcelona,2,70,2ª,NA,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/sarria/163124863/d,2022-04-03
105,163123098,1500,Sarrià - Sant Gervasi,Barcelona,3,3,120,Bajos,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-amueblado-parking-television-internet-piscina/163123098/d,2022-04-03
106,19799149,1230,Sants - Montjuïc,Barcelona,1,1,3992,1ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/obra-nueva/barcelona-capital/19799149/161527010,2022-04-03
107,163105035,2750,Sant Martí,Barcelona,2,2,113,+15,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-ascensor-amueblado-piscina/163105035/d,2022-04-03
108,163102150,1200,Horta - Guinardó,Barcelona,3,1,80,5ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza-ascensor/163102150/d,2022-04-03
109,19835896,1320,Obra Nueva Sants - Montjuïc,Barcelona,2,2,74,4ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/obra-nueva/barcelona-capital/19835896/162521362,2022-04-03
110,163016086,7800,Planta baja en Les Corts,Barcelona,5,4,330,Ascensor,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-jardin-terraza-ascensor-piscina-parking/163016086/d,2022-04-03
111,163074571,1300,Sant Martí,Barcelona,4,1,65,Ascensor,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado/163074571/d,2022-04-03
112,163069637,1200,Eixample,Barcelona,3,1,81,Ascensor,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/terraza-ascensor-no-amueblado/163069637/d,2022-04-03
113,163060765,1150,Les Corts,Barcelona,2,1,90,2ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-no-amueblado/163060765/d,2022-04-03
114,163057625,1300,Sant Martí,Barcelona,4,1,75,Ascensor,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/terraza-ascensor-amueblado/163057625/d,2022-04-03
115,162502802,2500,Sarrià - Sant Gervasi,Barcelona,4,3,140,3ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor/162502802/d,2022-04-03
116,163048524,1950,Sant Martí,Barcelona,3,2,95,3ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-zona-comunitaria-ascensor-piscina-no-amueblado/163048524/d,2022-04-03
117,163037132,850,Sant Martí,Barcelona,2,1,68,Bajos,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado/163037132/d,2022-04-03
118,163029366,1400,Sarrià - Sant Gervasi,Barcelona,2,2,80,Bajos,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/163029366/d,2022-04-03
119,163017994,620,Ciutat Vella,Barcelona,1,62,3ª,Balcón,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado/163017994/d,2022-04-03
120,163014408,1300,Sant Martí,Barcelona,2,1,71,Bajos,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/163014408/d,2022-04-03
121,163013818,1475,Sant Martí,Barcelona,3,1,82,1ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/163013818/d,2022-04-03
122,163013183,900,Gràcia,Barcelona,3,1,72,4ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/ascensor/163013183/d,2022-04-03
123,163012880,880,Sarrià - Sant Gervasi,Barcelona,1,1,40,Entresuelo,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado/163012880/d,2022-04-03
124,163003744,1400,Les Corts,Barcelona,3,2,99,5ª,Fotocasa,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-amueblado/163003744/d,2022-04-03
